base_scenario_id,parameter,domain,direction,baseline_value,perturbed_value,hybrid_viability_change,hospital_pressure_change,access_change,fiscal_risk_change,abs_viability_change
F4,hospital_cost_per_event_index,cost,down,0.82,0.74,0.06399999999999739,0.0,0.0,-0.8000000000000007,0.06399999999999739
F4,price_elasticity_high_need,demand/equity,up,0.34,0.42000000000000004,-0.0635610505420825,0.06200037043200268,-0.21498048000000436,0.013156805375996727,0.0635610505420825
F4,price_elasticity_high_need,demand/equity,down,0.34,0.26,0.0635610505420714,-0.06200037043200268,0.21498047999999326,-0.013156805376002279,0.0635610505420714
F4,primary_kpi_salience,accountability,up,0.82,0.8999999999999999,0.06250495999999828,-0.09318399999999061,0.0,-0.0645119999999999,0.06250495999999828
F4,primary_kpi_salience,accountability,down,0.82,0.74,-0.06250495999999828,0.09318400000000171,0.0,0.0645119999999999,0.06250495999999828
F4,scheduled_medical_benefit_strength,funding/FFS,down,0.78,0.7000000000000001,-0.061989068800005764,0.14212352000000372,-0.49280000000000435,-1.5378406400000044,0.061989068800005764
F4,scheduled_medical_benefit_strength,funding/FFS,up,0.78,0.86,0.06198906879999466,-0.14212351999999262,0.49279999999998214,1.5378406400000044,0.06198906879999466
F4,pho_transaction_cost,PHO/admin,up,0.52,0.6,-0.047142950399992056,0.026648159999997922,-0.09240000000001469,0.005654880000000029,0.047142950399992056
F4,pho_transaction_cost,PHO/admin,down,0.52,0.44,0.047142950399992056,-0.026648159999997922,0.09239999999999249,-0.005654880000000029,0.047142950399992056
F4,data_observability_hospital,data,up,0.82,0.8999999999999999,0.03125247999999914,-0.04659199999998975,0.0,-0.03225600000000273,0.03125247999999914
F4,data_observability_hospital,data,down,0.82,0.74,-0.03125247999999914,0.046592000000000855,0.0,0.032255999999997176,0.03125247999999914
F4,routine_need_share,demand,up,0.42,0.5,0.0,0.0,0.0,0.0,0.0
F4,routine_need_share,demand,down,0.42,0.33999999999999997,0.0,0.0,0.0,0.0,0.0
F4,base_need_per_1000,demand,down,62.0,61.92,0.0,0.0,0.0,0.0,0.0
F4,base_need_per_1000,demand,up,62.0,62.08,0.0,0.0,0.0,0.0,0.0
F4,urgent_need_share,demand,down,0.28,0.2,0.0,0.0,0.0,0.0,0.0
F4,urgent_need_share,demand,up,0.28,0.36000000000000004,0.0,0.0,0.0,0.0,0.0
F4,budget_tightness,fiscal,down,0.76,0.68,0.0,0.0,0.0,0.0,0.0
F4,budget_tightness,fiscal,up,0.76,0.84,0.0,0.0,0.0,0.0,0.0
F4,acc_constraint_intensity,ACC/funding,up,0.12,0.2,0.0,0.0,0.0,0.0,0.0
F4,acc_constraint_intensity,ACC/funding,down,0.12,0.039999999999999994,0.0,0.0,0.0,0.0,0.0
F4,capitation_weighting_adequacy,funding/equity,up,0.82,0.8999999999999999,0.0,0.0,0.0,0.0,0.0
F4,capitation_weighting_adequacy,funding/equity,down,0.82,0.74,0.0,0.0,0.0,0.0,0.0
F4,price_elasticity_general,demand/price,up,0.24,0.32,0.0,0.0,0.0,0.0,0.0
F4,price_elasticity_general,demand/price,down,0.24,0.15999999999999998,0.0,0.0,0.0,0.0,0.0
F4,unmet_need_persistence,demand dynamics,down,0.68,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
F4,unmet_need_persistence,demand dynamics,up,0.68,0.76,0.0,0.0,0.0,0.0,0.0
F4,delay_complexity_growth,demand dynamics,down,0.22,0.14,0.0,0.0,0.0,0.0,0.0
F4,delay_complexity_growth,demand dynamics,up,0.22,0.3,0.0,0.0,0.0,0.0,0.0
F4,medical_productivity_per_fte,supply,up,0.56,0.64,0.0,0.0,0.0,0.0,0.0
F4,medical_productivity_per_fte,supply,down,0.56,0.48000000000000004,0.0,0.0,0.0,0.0,0.0
F4,np_nurse_productivity_per_fte,supply,down,0.48,0.39999999999999997,0.0,0.0,0.0,0.0,0.0
F4,np_nurse_productivity_per_fte,supply,up,0.48,0.5599999999999999,0.0,0.0,0.0,0.0,0.0
F4,baseline_hospital_pressure,hospital,up,0.72,0.7999999999999999,0.0,3.600000000000003,0.0,0.0,0.0
F4,baseline_hospital_pressure,hospital,down,0.72,0.64,0.0,-3.599999999999992,0.0,0.0,0.0
F4,hospital_salience,political economy,up,0.88,0.95,0.0,0.7000000000000006,0.0,0.0,0.0
F4,hospital_salience,political economy,down,0.88,0.8,0.0,-0.8000000000000007,0.0,0.0,0.0
F4,admission_conversion_rate,hospital,up,0.18,0.26,0.0,0.0,0.0,0.0,0.0
F4,admission_conversion_rate,hospital,down,0.18,0.09999999999999999,0.0,0.0,0.0,0.0,0.0
F4,ed_conversion_rate,hospital,up,0.32,0.4,0.0,0.0,0.0,0.0,0.0
F4,ed_conversion_rate,hospital,down,0.32,0.24,0.0,0.0,0.0,0.0,0.0
F4,primary_contact_cost_index,cost,up,0.28,0.36000000000000004,0.0,0.0,0.0,0.0,0.0
F4,primary_contact_cost_index,cost,down,0.28,0.2,0.0,0.0,0.0,0.0,0.0
F4,telehealth_substitution_rate,digital,down,0.42,0.33999999999999997,0.0,0.0,0.0,0.0,0.0
F4,telehealth_substitution_rate,digital,up,0.42,0.5,0.0,0.0,0.0,0.0,0.0
F4,ambulance_event_cost_index,cost,up,0.46,0.54,0.0,0.0,0.0,0.0,0.0
F4,ambulance_event_cost_index,cost,down,0.46,0.38,0.0,0.0,0.0,0.0,0.0
F4,cream_skimming_penalty,risk/equity,up,0.5,0.58,0.0,0.0,0.0,0.0,0.0
F4,cream_skimming_penalty,risk/equity,down,0.5,0.42,0.0,0.0,0.0,0.0,0.0
